,S_KP,S_KI,S_KD,T_KP,T_KI,T_KD,loss_T,loss_S
6672,0.0,0.0,0.6000000000000001,0.6000000000000001,0.7000000000000001,0.2,0.1835024216299859,0.0011947439226355086
6673,0.0,0.0,0.6000000000000001,0.6000000000000001,0.7000000000000001,0.30000000000000004,0.18353134010821445,0.0011947439226355086
6674,0.0,0.0,0.6000000000000001,0.6000000000000001,0.7000000000000001,0.4,0.18353818603603708,0.0011947439226355086
6675,0.0,0.0,0.6000000000000001,0.6000000000000001,0.7000000000000001,0.5,0.18355254442375782,0.0011947439226355086
6676,0.0,0.0,0.6000000000000001,0.6000000000000001,0.7000000000000001,0.6000000000000001,0.18365033842267448,0.0011947439226355086
6677,0.0,0.0,0.6000000000000001,0.6000000000000001,0.7000000000000001,0.7000000000000001,0.18399683619251295,0.0011947439226355086
6678,0.0,0.0,0.6000000000000001,0.6000000000000001,0.7000000000000001,0.8,0.1844587998962462,0.0011947439226355086
6679,0.0,0.0,0.6000000000000001,0.6000000000000001,0.7000000000000001,0.9,0.1846718624764743,0.0011947439226355086
6680,0.0,0.0,0.6000000000000001,0.6000000000000001,0.8,0.0,0.18340677959074916,0.0011947439226355086
6681,0.0,0.0,0.6000000000000001,0.6000000000000001,0.8,0.1,0.18346437076406952,0.0011947439226355086
6682,0.0,0.0,0.6000000000000001,0.6000000000000001,0.8,0.2,0.1835357421074519,0.0011947439226355086
6683,0.0,0.0,0.6000000000000001,0.6000000000000001,0.8,0.30000000000000004,0.1835624712585779,0.0011947439226355086
6684,0.0,0.0,0.6000000000000001,0.6000000000000001,0.8,0.4,0.18357935589937904,0.0011947439226355086
6685,0.0,0.0,0.6000000000000001,0.6000000000000001,0.8,0.5,0.18356173856650645,0.0011947439226355086
6686,0.0,0.0,0.6000000000000001,0.6000000000000001,0.8,0.6000000000000001,0.18361152527834862,0.0011947439226355086
6687,0.0,0.0,0.6000000000000001,0.6000000000000001,0.8,0.7000000000000001,0.1837518092524237,0.0011947439226355086
6688,0.0,0.0,0.6000000000000001,0.6000000000000001,0.8,0.8,0.18407807378570726,0.0011947439226355086
6689,0.0,0.0,0.6000000000000001,0.6000000000000001,0.8,0.9,0.18453857506947158,0.0011947439226355086
6690,0.0,0.0,0.6000000000000001,0.6000000000000001,0.9,0.0,0.18342581588578358,0.0011947439226355086
6691,0.0,0.0,0.6000000000000001,0.6000000000000001,0.9,0.1,0.1834919837374018,0.0011947439226355086
6692,0.0,0.0,0.6000000000000001,0.6000000000000001,0.9,0.2,0.1835735680214611,0.0011947439226355086
6693,0.0,0.0,0.6000000000000001,0.6000000000000001,0.9,0.30000000000000004,0.18361246873168613,0.0011947439226355086
6694,0.0,0.0,0.6000000000000001,0.6000000000000001,0.9,0.4,0.18359354041357137,0.0011947439226355086
6695,0.0,0.0,0.6000000000000001,0.6000000000000001,0.9,0.5,0.18363601337805968,0.0011947439226355086
6696,0.0,0.0,0.6000000000000001,0.6000000000000001,0.9,0.6000000000000001,0.18360131538313315,0.0011947439226355086
6697,0.0,0.0,0.6000000000000001,0.6000000000000001,0.9,0.7000000000000001,0.1836533339897105,0.0011947439226355086
6698,0.0,0.0,0.6000000000000001,0.6000000000000001,0.9,0.8,0.18385551783273094,0.0011947439226355086
6699,0.0,0.0,0.6000000000000001,0.6000000000000001,0.9,0.9,0.18417109309393995,0.0011947439226355086
6700,0.0,0.0,0.6000000000000001,0.7000000000000001,0.0,0.0,0.1833190303835909,0.0011947439226355086
6701,0.0,0.0,0.6000000000000001,0.7000000000000001,0.0,0.1,0.18368947800190258,0.0011947439226355086
6702,0.0,0.0,0.6000000000000001,0.7000000000000001,0.0,0.2,0.18419996265930608,0.0011947439226355086
6703,0.0,0.0,0.6000000000000001,0.7000000000000001,0.0,0.30000000000000004,0.1844899379069819,0.0011947439226355086
6704,0.0,0.0,0.6000000000000001,0.7000000000000001,0.0,0.4,0.1847449083852269,0.0011947439226355086
6705,0.0,0.0,0.6000000000000001,0.7000000000000001,0.0,0.5,0.18476368690252656,0.0011947439226355086
6706,0.0,0.0,0.6000000000000001,0.7000000000000001,0.0,0.6000000000000001,0.18496246438674804,0.0011947439226355086
6707,0.0,0.0,0.6000000000000001,0.7000000000000001,0.0,0.7000000000000001,0.18518780721835343,0.0011947439226355086
6708,0.0,0.0,0.6000000000000001,0.7000000000000001,0.0,0.8,0.18547131500906522,0.0011947439226355086
6709,0.0,0.0,0.6000000000000001,0.7000000000000001,0.0,0.9,0.18592216890459726,0.0011947439226355086
6710,0.0,0.0,0.6000000000000001,0.7000000000000001,0.1,0.0,0.18329366669290753,0.0011947439226355086
6711,0.0,0.0,0.6000000000000001,0.7000000000000001,0.1,0.1,0.18349749029251053,0.0011947439226355086
6712,0.0,0.0,0.6000000000000001,0.7000000000000001,0.1,0.2,0.18390780900317624,0.0011947439226355086
6713,0.0,0.0,0.6000000000000001,0.7000000000000001,0.1,0.30000000000000004,0.18435244928623185,0.0011947439226355086
6714,0.0,0.0,0.6000000000000001,0.7000000000000001,0.1,0.4,0.18458743534969263,0.0011947439226355086
6715,0.0,0.0,0.6000000000000001,0.7000000000000001,0.1,0.5,0.1848142087487948,0.0011947439226355086
6716,0.0,0.0,0.6000000000000001,0.7000000000000001,0.1,0.6000000000000001,0.18483199359332292,0.0011947439226355086
6717,0.0,0.0,0.6000000000000001,0.7000000000000001,0.1,0.7000000000000001,0.1846115463421706,0.0011947439226355086
6718,0.0,0.0,0.6000000000000001,0.7000000000000001,0.1,0.8,0.18478110710700427,0.0011947439226355086
6719,0.0,0.0,0.6000000000000001,0.7000000000000001,0.1,0.9,0.18544730683944327,0.0011947439226355086
6720,0.0,0.0,0.6000000000000001,0.7000000000000001,0.2,0.0,0.18332118003591566,0.0011947439226355086
6721,0.0,0.0,0.6000000000000001,0.7000000000000001,0.2,0.1,0.18342833469144781,0.0011947439226355086
6722,0.0,0.0,0.6000000000000001,0.7000000000000001,0.2,0.2,0.18363820655181778,0.0011947439226355086
6723,0.0,0.0,0.6000000000000001,0.7000000000000001,0.2,0.30000000000000004,0.18406083785969166,0.0011947439226355086
6724,0.0,0.0,0.6000000000000001,0.7000000000000001,0.2,0.4,0.18448484226363865,0.0011947439226355086
6725,0.0,0.0,0.6000000000000001,0.7000000000000001,0.2,0.5,0.1846215592135142,0.0011947439226355086
6726,0.0,0.0,0.6000000000000001,0.7000000000000001,0.2,0.6000000000000001,0.18483931558529154,0.0011947439226355086
6727,0.0,0.0,0.6000000000000001,0.7000000000000001,0.2,0.7000000000000001,0.18504973042686168,0.0011947439226355086
6728,0.0,0.0,0.6000000000000001,0.7000000000000001,0.2,0.8,0.18462862239946712,0.0011947439226355086
6729,0.0,0.0,0.6000000000000001,0.7000000000000001,0.2,0.9,0.18448214573480384,0.0011947439226355086
6730,0.0,0.0,0.6000000000000001,0.7000000000000001,0.30000000000000004,0.0,0.18335204009163353,0.0011947439226355086
6731,0.0,0.0,0.6000000000000001,0.7000000000000001,0.30000000000000004,0.1,0.18343511956170705,0.0011947439226355086
6732,0.0,0.0,0.6000000000000001,0.7000000000000001,0.30000000000000004,0.2,0.1835157285154315,0.0011947439226355086
6733,0.0,0.0,0.6000000000000001,0.7000000000000001,0.30000000000000004,0.30000000000000004,0.18377070502603582,0.0011947439226355086
6734,0.0,0.0,0.6000000000000001,0.7000000000000001,0.30000000000000004,0.4,0.18420091075067574,0.0011947439226355086
6735,0.0,0.0,0.6000000000000001,0.7000000000000001,0.30000000000000004,0.5,0.184560851792392,0.0011947439226355086
6736,0.0,0.0,0.6000000000000001,0.7000000000000001,0.30000000000000004,0.6000000000000001,0.18464877736622878,0.0011947439226355086
6737,0.0,0.0,0.6000000000000001,0.7000000000000001,0.30000000000000004,0.7000000000000001,0.1848380566934909,0.0011947439226355086
6738,0.0,0.0,0.6000000000000001,0.7000000000000001,0.30000000000000004,0.8,0.18498403533167432,0.0011947439226355086
6739,0.0,0.0,0.6000000000000001,0.7000000000000001,0.30000000000000004,0.9,0.185007278273204,0.0011947439226355086
6740,0.0,0.0,0.6000000000000001,0.7000000000000001,0.4,0.0,0.18338618590572184,0.0011947439226355086
6741,0.0,0.0,0.6000000000000001,0.7000000000000001,0.4,0.1,0.18347044800783552,0.0011947439226355086
6742,0.0,0.0,0.6000000000000001,0.7000000000000001,0.4,0.2,0.1835222655239601,0.0011947439226355086
6743,0.0,0.0,0.6000000000000001,0.7000000000000001,0.4,0.30000000000000004,0.1836039781980163,0.0011947439226355086
6744,0.0,0.0,0.6000000000000001,0.7000000000000001,0.4,0.4,0.1838898296562028,0.0011947439226355086
6745,0.0,0.0,0.6000000000000001,0.7000000000000001,0.4,0.5,0.18433790935427502,0.0011947439226355086
6746,0.0,0.0,0.6000000000000001,0.7000000000000001,0.4,0.6000000000000001,0.18463801958306397,0.0011947439226355086
6747,0.0,0.0,0.6000000000000001,0.7000000000000001,0.4,0.7000000000000001,0.18468012990755897,0.0011947439226355086
6748,0.0,0.0,0.6000000000000001,0.7000000000000001,0.4,0.8,0.18481805297085277,0.0011947439226355086
6749,0.0,0.0,0.6000000000000001,0.7000000000000001,0.4,0.9,0.18494435075902077,0.0011947439226355086
6750,0.0,0.0,0.6000000000000001,0.7000000000000001,0.5,0.0,0.1834134872733107,0.0011947439226355086
6751,0.0,0.0,0.6000000000000001,0.7000000000000001,0.5,0.1,0.18349151180773765,0.0011947439226355086
6752,0.0,0.0,0.6000000000000001,0.7000000000000001,0.5,0.2,0.183527314439174,0.0011947439226355086
6753,0.0,0.0,0.6000000000000001,0.7000000000000001,0.5,0.30000000000000004,0.1835821102215673,0.0011947439226355086
6754,0.0,0.0,0.6000000000000001,0.7000000000000001,0.5,0.4,0.1836805300557142,0.0011947439226355086
6755,0.0,0.0,0.6000000000000001,0.7000000000000001,0.5,0.5,0.18398384299586998,0.0011947439226355086
6756,0.0,0.0,0.6000000000000001,0.7000000000000001,0.5,0.6000000000000001,0.18441763078798168,0.0011947439226355086
6757,0.0,0.0,0.6000000000000001,0.7000000000000001,0.5,0.7000000000000001,0.18469936847514798,0.0011947439226355086
6758,0.0,0.0,0.6000000000000001,0.7000000000000001,0.5,0.8,0.18471874818671555,0.0011947439226355086
6759,0.0,0.0,0.6000000000000001,0.7000000000000001,0.5,0.9,0.18473096204959147,0.0011947439226355086
6760,0.0,0.0,0.6000000000000001,0.7000000000000001,0.6000000000000001,0.0,0.18343812738026263,0.0011947439226355086
6761,0.0,0.0,0.6000000000000001,0.7000000000000001,0.6000000000000001,0.1,0.1835084219775412,0.0011947439226355086
6762,0.0,0.0,0.6000000000000001,0.7000000000000001,0.6000000000000001,0.2,0.18355429555097585,0.0011947439226355086
6763,0.0,0.0,0.6000000000000001,0.7000000000000001,0.6000000000000001,0.30000000000000004,0.18357578248864298,0.0011947439226355086
